"Date de création";"Numéro de lettrage";"Numéro de police";"Prime TTC";"Date effet";"Echéance"
"2018-12-10 17:39:57";"";"MAX304338";"62500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284330";"137500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304364";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304364";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284429";"112500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284429";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304365";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304365";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304265";"62500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX304265";"62500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304266";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304266";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284330";"137500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304133";"62500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304133";"62500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284439";"1118750";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284439";"1118750";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304431";"40000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304431";"40000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304431";"40000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX284469";"99897";"2017-02-03";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304358";"62500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304358";"62500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"DIVERS";"PLX304174";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284330";"137500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284459";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304359";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304360";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284422";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304392";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284405";"137500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284405";"137500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284359";"137500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284359";"137500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284359";"137500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284330";"137500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304212";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304212";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304212";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304212";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304213";"31250";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304213";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304213";"31250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304213";"31250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284373";"162500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284373";"162500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304303";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284373";"162500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304240";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304240";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304240";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304241";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304241";"31250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304241";"31250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284348";"62500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284348";"62500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304437";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304303";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304437";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304438";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304438";"31250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284357";"137500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304168";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304168";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304442";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304442";"31250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304442";"31250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284379";"112500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304303";"10000";"2017-07-01";"2018-12-10"
